,Country,EdLevel,YearsCodePro,Salary
779,Germany,Less than a Bachelors,4.0,41765.0
784,Germany,Bachelor’s degree,9.0,74963.0
790,Canada,Post grad,3.0,96657.0
793,United States of America,Bachelor’s degree,0.5,73000.0
797,Spain,Less than a Bachelors,23.0,69608.0
800,United States of America,Less than a Bachelors,6.0,50000.0
805,Germany,Post grad,25.0,128507.0
806,India,Bachelor’s degree,6.0,48468.0
814,India,Master’s degree,2.0,36351.0
823,Sweden,Post grad,22.0,138212.0
824,Netherlands,Post grad,20.0,85672.0
828,Germany,Master’s degree,25.0,113515.0
830,Austria,Less than a Bachelors,9.0,78711.0
833,France,Master’s degree,17.0,85672.0
834,Italy,Post grad,12.0,38552.0
839,United States of America,Less than a Bachelors,25.0,110000.0
840,Brazil,Bachelor’s degree,7.0,24345.0
846,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,5.0,52138.0
852,Germany,Bachelor’s degree,6.0,62112.0
854,India,Bachelor’s degree,8.0,66643.0
867,Italy,Less than a Bachelors,16.0,42836.0
871,Germany,Bachelor’s degree,8.0,80317.0
876,Germany,Less than a Bachelors,20.0,72607.0
877,Brazil,Master’s degree,23.0,28403.0
880,Germany,Post grad,7.0,53116.0
882,Israel,Bachelor’s degree,13.0,96220.0
884,Poland,Less than a Bachelors,12.0,81349.0
888,United States of America,Less than a Bachelors,42.0,150000.0
889,Netherlands,Master’s degree,5.0,64254.0
897,United States of America,Master’s degree,10.0,165000.0
898,Poland,Bachelor’s degree,2.0,38282.0
910,Italy,Less than a Bachelors,3.0,25701.0
911,Spain,Bachelor’s degree,30.0,53545.0
913,Netherlands,Bachelor’s degree,1.0,32127.0
916,Germany,Bachelor’s degree,3.0,69608.0
918,Denmark,Master’s degree,10.0,89722.0
919,France,Bachelor’s degree,15.0,149925.0
923,Netherlands,Master’s degree,15.0,80317.0
924,Netherlands,Bachelor’s degree,10.0,78175.0
932,Netherlands,Master’s degree,23.0,117798.0
935,Germany,Master’s degree,11.0,74963.0
938,Italy,Master’s degree,3.0,33198.0
940,United States of America,Less than a Bachelors,27.0,111420.0
941,France,Post grad,6.0,96381.0
942,Austria,Master’s degree,4.0,53545.0
943,Netherlands,Master’s degree,2.0,48190.0
952,Netherlands,Master’s degree,8.0,42836.0
955,Brazil,Master’s degree,3.0,56805.0
956,France,Master’s degree,8.0,107090.0
959,United States of America,Less than a Bachelors,28.0,160000.0
960,Netherlands,Bachelor’s degree,2.0,38530.0
961,Sweden,Less than a Bachelors,12.0,46439.0
963,United States of America,Bachelor’s degree,17.0,148000.0
965,Sweden,Bachelor’s degree,5.0,50678.0
967,Norway,Master’s degree,3.0,63429.0
970,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,43448.0
971,Germany,Master’s degree,22.0,74963.0
973,Brazil,Master’s degree,6.0,44633.0
976,Germany,Master’s degree,22.0,104343.0
977,United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,68276.0
982,India,Master’s degree,11.0,52345.0
984,India,Bachelor’s degree,11.0,21810.0
989,Israel,Master’s degree,12.0,294007.0
991,United States of America,Bachelor’s degree,21.0,120000.0
992,United States of America,Less than a Bachelors,19.0,120000.0
994,Italy,Less than a Bachelors,0.5,21418.0
995,France,Bachelor’s degree,10.0,44978.0
999,United States of America,Master’s degree,26.0,240000.0
1003,Germany,Less than a Bachelors,23.0,58006.0
1004,Germany,Master’s degree,12.0,91026.0
1005,Canada,Bachelor’s degree,7.0,171008.0
1006,Canada,Less than a Bachelors,7.0,68403.0
1009,United States of America,Master’s degree,10.0,250000.0
1011,Switzerland,Bachelor’s degree,7.0,119034.0
1013,India,Bachelor’s degree,6.0,19387.0
1015,Denmark,Bachelor’s degree,6.0,103525.0
1017,France,Master’s degree,11.0,58899.0
1021,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,5.0,57104.0
1023,Germany,Bachelor’s degree,25.0,91026.0
1025,Germany,Bachelor’s degree,13.0,171343.0
1029,Switzerland,Less than a Bachelors,5.0,57312.0
1034,United States of America,Bachelor’s degree,10.0,170000.0
1042,India,Less than a Bachelors,2.0,23131.0
1043,United States of America,Bachelor’s degree,31.0,150000.0
1048,Netherlands,Master’s degree,22.0,80317.0
1052,Germany,Master’s degree,10.0,74963.0
1056,Canada,Master’s degree,10.0,148703.0
1064,Italy,Post grad,12.0,96381.0
1067,Switzerland,Master’s degree,13.0,159814.0
1073,Netherlands,Bachelor’s degree,10.0,78711.0
1074,Germany,Bachelor’s degree,3.0,92097.0
1078,United States of America,Bachelor’s degree,7.0,185000.0
1080,Canada,Master’s degree,10.0,81787.0
1084,United States of America,Bachelor’s degree,1.0,73000.0
1088,United States of America,Master’s degree,3.0,72000.0
1092,Poland,Master’s degree,5.0,105000.0
1095,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,23.0,47173.0
1097,Germany,Master’s degree,3.0,74963.0
1105,United States of America,Less than a Bachelors,0.5,50000.0
1106,Netherlands,Bachelor’s degree,8.0,107090.0
1107,United States of America,Less than a Bachelors,5.0,40000.0
1109,Brazil,Master’s degree,15.0,22398.0
1110,Germany,Master’s degree,6.0,59970.0
1112,Netherlands,Less than a Bachelors,5.0,48190.0
1113,Germany,Master’s degree,3.0,53545.0
1114,Canada,Less than a Bachelors,20.0,204466.0
1116,Brazil,Bachelor’s degree,15.0,169000.0
1118,United States of America,Less than a Bachelors,5.0,110000.0
1119,France,Master’s degree,8.0,128507.0
1124,Portugal,Less than a Bachelors,20.0,61041.0
1125,Switzerland,Master’s degree,7.0,110216.0
1126,United States of America,Master’s degree,14.0,100000.0
1127,Germany,Bachelor’s degree,3.0,47548.0
1130,Sweden,Post grad,11.0,57128.0
1131,Germany,Master’s degree,25.0,128507.0
1132,Portugal,Master’s degree,6.0,102806.0
1133,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,148966.0
1134,United States of America,Less than a Bachelors,23.0,110000.0
1142,United States of America,Bachelor’s degree,11.0,125000.0
1143,Italy,Post grad,6.0,42836.0
1144,Australia,Bachelor’s degree,9.0,92545.0
1147,Germany,Bachelor’s degree,10.0,91026.0
1151,Germany,Master’s degree,17.0,144571.0
1154,Spain,Post grad,13.0,29985.0
1159,France,Bachelor’s degree,7.0,72821.0
1162,Canada,Bachelor’s degree,6.0,70634.0
1163,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,105517.0
1168,United States of America,Bachelor’s degree,8.0,170000.0
1172,Switzerland,Master’s degree,7.0,165324.0
1173,Germany,Master’s degree,16.0,64254.0
1174,United States of America,Bachelor’s degree,5.0,120000.0
1176,Germany,Master’s degree,7.0,104948.0
1177,United States of America,Bachelor’s degree,12.0,200000.0
1179,United States of America,Bachelor’s degree,8.0,150000.0
1186,India,Master’s degree,19.0,53314.0
1187,United States of America,Master’s degree,1.0,77062.0
1191,United States of America,Bachelor’s degree,17.0,163000.0
1192,Spain,Post grad,12.0,78175.0
1195,Germany,Post grad,25.0,107090.0
1196,United States of America,Bachelor’s degree,24.0,235000.0
1197,Germany,Bachelor’s degree,1.0,39623.0
1203,Switzerland,Master’s degree,18.0,148792.0
1204,Spain,Less than a Bachelors,6.0,58899.0
1211,Poland,Less than a Bachelors,1.0,78956.0
1212,Germany,Master’s degree,30.0,85672.0
1213,Switzerland,Bachelor’s degree,6.0,137770.0
1214,Canada,Bachelor’s degree,22.0,81787.0
1216,Italy,Less than a Bachelors,5.0,21418.0
1217,Netherlands,Less than a Bachelors,8.0,89570.0
1220,Canada,Bachelor’s degree,11.0,118962.0
1222,Germany,Master’s degree,4.0,51403.0
1225,United States of America,Bachelor’s degree,11.0,130000.0
1228,Netherlands,Bachelor’s degree,10.0,69608.0
1230,Spain,Master’s degree,13.0,69608.0
1231,Spain,Bachelor’s degree,3.0,49797.0
1232,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,52138.0
1234,Brazil,Bachelor’s degree,9.0,81150.0
1235,United States of America,Bachelor’s degree,2.0,90000.0
1243,Germany,Bachelor’s degree,11.0,48190.0
1244,Germany,Bachelor’s degree,5.0,85672.0
1245,Germany,Master’s degree,3.0,75177.0
1250,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,117931.0
1255,United States of America,Bachelor’s degree,36.0,208000.0
1256,United States of America,Bachelor’s degree,10.0,235000.0
1258,Italy,Less than a Bachelors,15.0,69608.0
1261,France,Master’s degree,10.0,74963.0
1269,Spain,Master’s degree,5.0,34804.0
1271,Germany,Master’s degree,12.0,96381.0
1275,United States of America,Less than a Bachelors,11.0,150000.0
1276,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,70759.0
1282,Netherlands,Post grad,7.0,91026.0
1286,Denmark,Bachelor’s degree,19.0,100649.0
1297,Germany,Bachelor’s degree,20.0,48190.0
1298,United States of America,Bachelor’s degree,3.0,92000.0
1304,Brazil,Less than a Bachelors,15.0,17105.0
1305,Denmark,Bachelor’s degree,13.0,104963.0
